name,in_scope,subsector,confidence,rationale
Venn,NO,Banking,High,"Canadian business banking platform with accounts and corporate cards"
Centralis,NO,Fund Admin,High,"Luxembourg fund administration and corporate services for asset managers"
Ellevest (automated investing arm),NO,WealthTech,High,"Automated investing/robo-advisory arm"
Softrax,NO,Accounting/Tax,High,"Revenue recognition and billing management software (ASC 606)"
Taktile,MAYBE,Fraud,Medium,"Risk decisioning platform spanning credit; fraud detection and transaction monitoring"
Unique AI,NO,Other,Medium,"Enterprise AI platform/agents for financial services; not financial-crime specific"
CompScience,NO,InsurTech,High,"AI computer-vision workers' comp insurance and workplace safety"
Capim,NO,Lending,High,"Brazilian BNPL/financing SaaS for dental clinics"
Flanks,NO,WealthTech,High,"Wealth data aggregation and portfolio management platform"
Vayu,NO,Other,High,"Usage-based billing and revenue management automation"
Napo,NO,InsurTech,High,"Pet insurance provider"
Monument Bank,NO,Banking,High,"Digital bank serving mass-affluent clients"
Mosaic Smart Data,NO,Market Data,High,"FICC trading/flow analytics for capital markets"
Lightkeeper,NO,Trading/Capital Markets,High,"Portfolio intelligence and analytics for investment managers"
Metronome,NO,Other,High,"Usage-based metering and billing platform"
