name,in_scope,subsector,confidence,rationale
Argentex,NO,Payments,High,"FX and currency risk management; not financial-crime tech"
Maza,NO,Banking,High,"Neobank for immigrants providing accounts and ITINs; not an IDV/AML vendor"
Theo,NO,Trading/Capital Markets,High,"Crypto on-chain trading infrastructure"
Affiniti,NO,Banking,High,"SMB finance OS with cards and bill pay; not financial-crime tech"
Kaira Technologies,NO,Other,High,"AI financial wellness and coaching platform"
Flow Life,NO,PropTech,High,"Adam Neumann managed home rental platform; real estate"
Money Money,NO,Banking,Low,"Appears to be a consumer money/neobank app; no fraud/AML focus found"
Hokodo,NO,Lending,High,"B2B BNPL and trade credit; not financial-crime tech"
Surfin,NO,Lending,High,"Consumer lending and financial inclusion platform"
GoCo,NO,Payments,High,"GoCardless bank payments and direct debit"
Bloom Credit,NO,Lending,High,"Tri-bureau credit data API and credit-reporting infrastructure"
Steadily,NO,InsurTech,High,"Landlord and rental property insurance"
GoBiz,NO,Banking,Medium,"Business banking/payments/lending platform; not financial-crime tech"
Altruist,NO,WealthTech,High,"RIA custodian and advisor platform"
GreenFi,NO,Banking,High,"Climate-focused checking, savings and investing"
QuantHouse,NO,Market Data,High,"Low-latency market data and trading infrastructure"
Alpaca,NO,Trading/Capital Markets,High,"Stock and crypto brokerage trading API"
Salsa,NO,HR/Payroll,High,"Embedded payroll infrastructure"
FundThrough,NO,Lending,High,"Invoice factoring and working-capital funding"
Demyst,YES,KYC/KYB,High,"External-data platform centered on KYB and onboarding workflow automation"
