name,in_scope,subsector,confidence,rationale
Alpha Group,NO,Payments,High,"FX and cross-border currency risk management for corporates"
ParkLexington,NO,Trading/Capital Markets,High,"Investment cost and fee optimization consultancy for asset managers"
Olo,NO,Other,High,"Restaurant digital ordering and commerce platform"
Natech,NO,Banking,High,"Cloud-native core banking platform for banks and fintechs"
Klar,NO,Banking,High,"Mexican neobank consumer banking"
Celeris,NO,Payments,Medium,"Payment orchestration and processing platform"
Arcus (cash and utility payment assets),NO,Payments,High,"Cash and utility bill payment processing assets"
Sibell,NO,Accounting/Tax,High,"SME financial management and accounting automation platform"
Yodlee,NO,Other,Medium,"Financial data aggregation and open-banking connectivity"
Melio,NO,Payments,High,"B2B accounts-payable payments platform"
Sis ID,YES,Fraud,High,"Wire-transfer payment fraud prevention and bank-detail verification"
Clearspeed,YES,Fraud,High,"AI voice-based risk assessment for fraud detection"
Quinn,NO,WealthTech,High,"AI-powered wealth advisory and financial planning platform"
Conquest Planning,NO,WealthTech,High,"AI financial planning software for advisors"
Finom,NO,Banking,High,"SME digital banking and finance platform"
Digital Asset,NO,Trading/Capital Markets,High,"DAML/Canton blockchain infrastructure for capital markets"
Statement,NO,Other,Medium,"Multi-banking liquidity and cash-flow management platform"
Smartpay,NO,Payments,High,"Payments and BNPL processing"
Meridian,NO,Trading/Capital Markets,Medium,"AI deal-sourcing and financial-modeling platform for private markets"
Spinwheel,NO,Lending,High,"Consumer credit and debt data API for lenders"
