name,in_scope,subsector,confidence,rationale
Securitize,NO,Trading/Capital Markets,High,"Tokenization platform for digital-asset securities; not financial-crime focused"
HUB International,NO,InsurTech,High,"Global insurance brokerage"
Bestow,NO,InsurTech,High,"Digital life insurance platform"
Flexpoint,NO,Payments,Medium,"B2B embedded payments/financing, not fraud or compliance"
Nawy,NO,PropTech,High,"Egyptian real-estate proptech marketplace"
Juice,NO,Lending,High,"UK SME alternative lending platform"
Rippling,NO,HR/Payroll,High,"HR, payroll and IT management software"
Domain,NO,PropTech,High,"Australian real-estate listings portal"
Glide,NO,Banking,High,"Account opening/loan origination platform for community banks"
Deribit,NO,Trading/Capital Markets,High,"Crypto options and futures derivatives exchange"
Ravio,NO,HR/Payroll,High,"Compensation benchmarking data platform"
Suntera Global,NO,Fund Admin,High,"Fund and corporate services administration"
iiPay,NO,HR/Payroll,High,"Global payroll processing and payments"
Circula,NO,Accounting/Tax,High,"Expense management and spend software"
Pattern Insurance Services,NO,InsurTech,High,"Insurance services provider"
Palla,NO,Payments,High,"Cross-border P2P remittance payments infrastructure"
Azibo,NO,PropTech,High,"Rental property banking and financial management"
SIlverRock,NO,Lending,Medium,"Consumer lending/asset management group"
AvidXchange,NO,Payments,High,"Accounts payable automation and B2B payments"
Duna,YES,KYC/KYB,High,"AI-native business identity, KYB/KYC/AML onboarding and screening platform"
