name,in_scope,subsector,confidence,rationale
BMLL,NO,Market Data,High,"Level 2/3 order book market data and analytics for capital markets"
MBS Source,NO,Market Data,Medium,"Mortgage-backed securities data and analytics platform"
Gtreasury,NO,Treasury,High,"Corporate treasury and cash management software"
With Intelligence,NO,Market Data,High,"Asset and fund management intelligence and data provider"
Tenor Digital,NO,Lending,High,"Private credit loan management and servicing software"
Datascan,NO,Lending,High,"Wholesale lending and inventory risk finance solutions"
Entercard,NO,Lending,Medium,"Scandinavian consumer credit card and lending provider"
Dun & Bradstreet,MAYBE,KYC/KYB,Medium,"Business data firm with major KYC/KYB/AML/sanctions compliance line but core is commercial data"
Dayforce,NO,Other,High,"HR; payroll and workforce management software (formerly Ceridian)"
Sapiens International Corp,NO,InsurTech,High,"Insurance core software platform provider"
MeridianLink,NO,Lending,High,"Lending and credit origination software for financial institutions"
Remember,NO,WealthTech,Low,"No financial-crime signal; appears to be a consumer investing/savings app"
Apiture,NO,Banking,High,"Digital banking platform for banks and credit unions"
Remember & Co,NO,WealthTech,Low,"No financial-crime signal; appears to be a consumer investing/savings app"
Intermex (International Money Express),NO,Payments,High,"Cross-border money remittance and transfer provider"
Objectway,NO,WealthTech,High,"Wealth and investment management software platform"
CoreCard,NO,Payments,High,"Card issuing and account management processing software"
Trading Technologies,NO,Trading/Capital Markets,High,"Electronic trading and execution software for derivatives"
Sportsinsurance,NO,InsurTech,Medium,"Sports-focused insurance provider"
Ultimus Fund Solutions,NO,Fund Admin,High,"Fund administration and accounting services provider"
