name,in_scope,subsector,confidence,rationale
Thndr,NO,WealthTech,High,"investing and trading app for retail investors in MENA"
CrediLinq,NO,Lending,High,"embedded B2B lending and credit infrastructure"
Lendflow,NO,Lending,High,"embedded lending infrastructure and credit decisioning"
Finastra (Treasury & Capital Markets biz),NO,Trading/Capital Markets,High,"treasury and capital markets banking software"
Fisdom,NO,WealthTech,High,"wealth and investment management platform in India"
Stord,NO,Other,High,"cloud supply chain and fulfillment logistics"
Finanzportal24,NO,WealthTech,High,"digital financial planning and advisory software"
Meey Group,NO,PropTech,High,"real estate technology platform in Vietnam"
Entrata,NO,PropTech,High,"property management software for multifamily real estate"
EarlyBird,NO,WealthTech,High,"investment gifting platform for children custodial accounts"
Citco,NO,Fund Admin,High,"alternative fund administration services"
Tinubu Square,NO,InsurTech,High,"trade credit insurance and surety software"
Addepar,NO,WealthTech,High,"portfolio management and wealth analytics platform"
WonderFi,NO,Other,High,"crypto trading and digital asset platform"
Citi (Global Alternatives),NO,WealthTech,High,"alternative asset management business of a bank"
Cirtuo,NO,Other,High,"AI-powered procurement category strategy software"
Gamma,NO,InsurTech,High,"property-level geospatial risk and catastrophe modelling analytics"
RentSync,NO,PropTech,High,"rental property marketing and leasing software"
Stash,NO,WealthTech,High,"consumer investing and personal finance app"
Ialta,NO,WealthTech,High,"private markets infrastructure and wealthtech platform"
