name,in_scope,subsector,confidence,rationale
Blackbird,NO,Payments,High,"Blockchain payments and loyalty app for restaurants"
Flow,NO,PropTech,Low,"Residential real estate/proptech venture; not financial crime"
Djamo,NO,Banking,High,"African consumer neobank/digital banking app"
Hidden Road,NO,Trading/Capital Markets,High,"Prime brokerage and credit clearing network"
Tracera,NO,Other,High,"AI-driven ESG/sustainability data reporting platform"
Pinch Payments,NO,Payments,High,"Payment processing/collections platform"
Ethic,NO,WealthTech,High,"Sustainable/ESG investing and asset management platform"
FNZ,NO,WealthTech,High,"Wealth management technology and platform provider"
Turbine,NO,Lending,High,"Asset-backed lending/liquidity for PE and VC investors"
Hawk,YES,Transaction Monitoring,High,"AML transaction monitoring; payment screening and fraud detection"
PayDunya,NO,Payments,High,"African payment gateway/aggregator"
SecurePay,NO,Payments,High,"Payment gateway/processing service"
AppWork,NO,PropTech,High,"Multifamily property maintenance management software"
Pennylane,NO,Accounting/Tax,High,"Accounting and financial management software for SMBs"
Plaid,MAYBE,Identity Verification,Medium,"Primarily bank data connectivity; offers identity verification and anti-fraud (Signal/Beacon)"
SmartTrade,NO,Trading/Capital Markets,High,"Multi-asset trading technology and connectivity"
Acorn Claims,NO,InsurTech,High,"P&C insurance claims management and TPA services"
Axyon AI,NO,WealthTech,High,"AI predictive analytics for asset management/investing"
nRoad,NO,Other,High,"AI unstructured-data processing for financial services; not financial crime"
Tax Systems,NO,Accounting/Tax,High,"Tax and regulatory compliance/reporting software"
