name,in_scope,subsector,confidence,rationale
24X,NO,Trading/Capital Markets,High,"24-hour securities exchange/trading venue; not financial-crime tech"
Qashio,NO,Payments,High,"Corporate spend management and card platform; not fraud/AML"
Delta Data,NO,Fund Admin,High,"Mutual/pooled fund operational and transaction software for asset managers"
OpenFX,NO,Payments,High,"Cross-border FX and payments infrastructure; not financial-crime tech"
"Acheteur,ch",NO,PropTech,High,"Swiss real estate property listing and valuation platform"
Revenue Cat,NO,Payments,High,"In-app subscription and purchase management SDK; not compliance"
Kota,NO,InsurTech,High,"Employee benefits health and pensions platform; not financial-crime tech"
Fraxion,NO,Other,High,"Procure-to-pay and spend management software; not financial crime"
Greenlite AI,YES,AML,High,"AI agents automating AML; KYC; sanctions and transaction-monitoring reviews for banks"
Airwallex,NO,Payments,High,"Global cross-border payments and business accounts; not financial-crime tech"
Aufinity Group,NO,Payments,High,"Digital payment management for the automotive trade; not compliance"
Clair,NO,Payments,High,"Earned wage access / on-demand pay platform; not financial-crime tech"
Seeds,NO,WealthTech,High,"Values-based investing platform for RIAs and advisors"
Slash,NO,Banking,Medium,"Business banking and accounts for niche operators; not financial-crime tech"
Tokeny,NO,Trading/Capital Markets,Medium,"Compliant securities tokenization / RWA infrastructure; KYC is a feature not core"
Keep,NO,Banking,High,"Canadian SMB business banking; credit card and multi-currency accounts"
Novisto,NO,Other,High,"ESG and sustainability reporting/data management software"
TrustCloud,MAYBE,GRC/Risk,Medium,"AI-native security GRC (SOC2/ISO27001) for CISOs; not financial-crime specific"
Itel,NO,Other,High,"Caribbean BPO / contact-center outsourcing provider"
Acrisure,NO,InsurTech,High,"Insurance brokerage and fintech distribution; not financial-crime tech"
