name,in_scope,subsector,confidence,rationale
ListAssist,NO,PropTech,High,"AI-generated real estate listing descriptions; acquired by Inside Real Estate"
Beacon,NO,Other,Low,"Ambiguous name; closest fintech matches are quant trading platform or holding co; none are financial crime"
Bistro,NO,Payments,High,"TouchBistro restaurant POS and payments platform"
Trust & Will,NO,WealthTech,High,"Online estate planning and will/trust documents"
Worth AI,YES,KYC/KYB,High,"AI SMB onboarding platform doing KYB; KYC and fraud detection"
Synctera,NO,Banking,High,"Banking-as-a-service platform connecting fintechs and banks"
Zolve,NO,Banking,High,"Cross-border neobank offering credit cards and banking to immigrants"
Hubly,NO,WealthTech,High,"Workflow and practice management CRM for financial advisors"
Norm AI,MAYBE,RegTech/Compliance,Medium,"AI regulatory compliance review agents; broad legal compliance not specifically financial crime"
Firezat,NO,Other,High,"Wildfire structure protection wrap technology; not fintech"
Plata,NO,Banking,High,"Mexican neobank and credit card issuer"
Tomo,NO,Lending,Medium,"US digital mortgage lender"
August,NO,Trading/Capital Markets,Medium,"DeFi on-chain prime brokerage and execution platform"
Modern Banking Systems,NO,Banking,High,"Core banking software for community banks"
Center,NO,Payments,High,"Corporate card and expense management platform"
Nirvana,NO,InsurTech,High,"AI-driven commercial trucking and health insurance"
Klaim,NO,Payments,High,"Healthcare claims payment acceleration for providers"
Redfin,NO,PropTech,High,"Online real estate brokerage and listings portal"
Zocks,NO,WealthTech,High,"AI assistant automating notes and workflows for financial advisors"
Heywood Business Analysts,MAYBE,RegTech/Compliance,Medium,"Banking regulatory reporting software (Basel/BA returns); prudential reporting not financial crime"
