name,in_scope,subsector,confidence,rationale
Tutman,NO,Fund Admin,High,"FCA Authorised Corporate Director and fund management services; not financial crime"
Aquilance,NO,WealthTech,High,"personal financial administration and bookkeeping for HNW families"
NovaSparks,NO,Market Data,High,"ultra-low-latency FPGA market data feed handlers"
Groene Hart Financiele,NO,WealthTech,High,"Dutch wealth management; financial planning and tax advice"
Distributed Technologies Research,NO,Payments,High,"global/stablecoin payments infrastructure (AmalgamOS)"
S&P Enterprise Data Management,NO,Market Data,High,"enterprise data management for capital markets data"
BridgeFT,NO,WealthTech,High,"wealth infrastructure and data API for advisors"
TRES Finance,NO,Accounting/Tax,High,"crypto accounting; treasury and financial data reconciliation"
Global Loan Agency Services (GLAS),NO,Other,High,"independent loan agency and trustee services"
Clearwater Analytics,NO,WealthTech,High,"investment accounting; reporting and reconciliation"
GoCardless,NO,Payments,High,"bank-debit and account-to-account payments processing"
OnCorps AI,NO,Fund Admin,High,"AI for fund operations; trade reconciliation and exception resolution"
Coremont,NO,WealthTech,High,"investment management platform and middle-office services"
Digitec,NO,Trading/Capital Markets,Medium,"money market and repo trading technology"
Green Dot Bank,NO,Banking,High,"chartered bank and banking-as-a-service"
W3C Corp,NO,Payments,High,"crypto card issuing and payments processing (Monavate/Baanx)"
Forge Global,NO,Trading/Capital Markets,High,"private-company securities marketplace and trading"
SteelEye,MAYBE,RegTech/Compliance,Medium,"trade and communications surveillance RegTech; market-conduct not financial crime"
CSG Systems,NO,Other,High,"billing; revenue and customer engagement software"
EquityZen,NO,Trading/Capital Markets,High,"secondary marketplace for pre-IPO private shares"
