name,in_scope,subsector,confidence,rationale
Intix,YES,Transaction Monitoring,High,"Transaction track-and-trace and monitoring for banks; detects money laundering; fraud and illicit flows"
Ledgebrook,NO,InsurTech,High,"Tech-enabled MGA / specialty insurance underwriter"
Grifin,NO,WealthTech,High,"Consumer stock-investing app"
NaroIQ,NO,Fund Admin,Medium,"ETF and fund infrastructure / issuance platform"
Salmon,NO,Lending,High,"Consumer lending and credit fintech in the Philippines"
Ramp,NO,Payments,High,"Corporate cards and spend-management platform"
Acin,MAYBE,GRC/Risk,High,"Operational / non-financial risk management RegTech; not specific to financial crime"
Descartes Underwriting,NO,InsurTech,High,"Parametric / climate insurance underwriting"
Icon Solutions,NO,Payments,High,"Payments processing technology platform for banks"
Tensec,NO,Payments,High,"Cross-border payments; FX and trade-finance platform"
RANOS,NO,Trading/Capital Markets,High,"Investment-research authoring and distribution platform"
Pillar,NO,Other,Medium,"Construction finance management software"
Hastee,NO,Lending,High,"Earned-wage-access / on-demand pay provider"
Payabli,NO,Payments,High,"Payments infrastructure and embedded-payments platform"
XFX,NO,Payments,High,"Fiat-to-stablecoin FX settlement platform"
Juniper Square,NO,Fund Admin,High,"Fund administration and investor management for private markets"
WeFox Italia,NO,InsurTech,High,"Digital insurance distribution"
Cantaloupe,NO,Payments,High,"Unattended-retail / vending payments and commerce tech"
ExactVAL,NO,InsurTech,High,"Outsourced actuarial valuation for life insurers"
E-xact,NO,Payments,High,"Payment gateway / processing technology"
