name,in_scope,subsector,confidence,rationale
Gridky,NO,PropTech,High,"Real estate new-build investment analysis and comparison tool"
HelloData,NO,PropTech,High,"Multifamily real estate rent analytics and pricing data"
MainStreet,NO,Accounting/Tax,High,"Identifies and claims R&D tax credits for SMEs"
HubSync,NO,Accounting/Tax,High,"Tax and accounting workflow automation for CPA firms"
Nok Nok,MAYBE,Identity Verification,Medium,"FIDO passwordless and biometric authentication; identity security not specific to financial crime"
Clara,NO,Payments,High,"LatAm corporate cards and spend management platform"
Lunar AI,NO,WealthTech,High,"LLM content automation for asset and wealth managers"
Dinari,NO,Trading/Capital Markets,High,"Tokenized US equities and securities platform"
Pipit Global,NO,Payments,High,"Cross-border cash and digital payments for emerging markets"
Equity Methods,NO,Accounting/Tax,High,"Equity compensation valuation and financial reporting advisory"
Persona,YES,Identity Verification,High,"Identity verification and KYC/KYB/AML onboarding infrastructure"
Zelros,NO,InsurTech,High,"AI insurance recommendation and distribution platform"
Navro,NO,Payments,High,"Cross-border payments curation and infrastructure platform"
Bankly,NO,Banking,High,"Digital banking and agency banking for unbanked Nigerians"
Advantage Go,NO,InsurTech,High,"Commercial insurance underwriting and policy administration software"
Deserve (tech assets),NO,Lending,High,"Cloud credit card issuing and underwriting platform; KYC only an embedded feature"
Pliant,NO,Payments,High,"Corporate card issuing and embedded card payments platform"
Alternative Payments,NO,Payments,High,"B2B payments and checkout platform for service businesses"
Thunes,NO,Payments,High,"Global cross-border payments and money movement network"
Sprive,NO,Lending,High,"Consumer mortgage overpayment and savings app"
