name,in_scope,subsector,confidence,rationale
Tradeteq,NO,Trading/Capital Markets,High,"trade finance asset distribution platform; not financial crime"
Banxware,NO,Lending,High,"embedded lending and BaaS for SMEs; not financial crime"
FISPAN,NO,Banking,High,"embedded banking and ERP integration; not financial crime"
OatFI,NO,Payments,High,"B2B embedded finance and payments infrastructure"
N2F,NO,Accounting/Tax,High,"expense management software; not financial crime"
Grata,NO,Other,Medium,"B2B company search and deal-sourcing data engine"
StartADAM,NO,Other,Medium,"cross-platform messaging and communication integration"
AZA Finance,NO,Payments,High,"cross-border FX and payments in Africa"
Nomupay,NO,Payments,High,"payments infrastructure and orchestration"
Neptune Networks,NO,Trading/Capital Markets,High,"fixed income capital markets connectivity network"
Sky Road,NO,Trading/Capital Markets,High,"credit portfolio management and OMS for credit funds"
Fundipedia,NO,Fund Admin,High,"fund data management for asset managers"
Heartland Payroll Solutions (Global Payments Payroll biz),NO,HR/Payroll,High,"payroll processing services"
Uplinq,NO,Accounting/Tax,High,"AI bookkeeping and accounting for small business"
Stitch,NO,Payments,Medium,"payments orchestration platform; fraud is a built-in feature not core business"
Rillet,NO,Accounting/Tax,High,"AI-native general ledger and ERP accounting"
Cerby,MAYBE,GRC/Risk,Medium,"enterprise identity security and access governance; not specific to financial crime"
Conduit,NO,Payments,High,"cross-border stablecoin payments infrastructure"
Dojo,NO,Payments,High,"card acquiring and POS payment processing"
Monarch,NO,WealthTech,High,"personal finance budgeting and money management app"
