name,in_scope,subsector,confidence,rationale
Covie,NO,InsurTech,High,"Insurance policy verification and data API; InsurTech not financial crime"
Mindgate Solutions,NO,Payments,High,"Digital payments and real-time payment infrastructure provider"
expand.network,NO,Other,High,"Unified DeFi/blockchain API adapter infrastructure; crypto infra not AML"
NEXT Insurance,NO,InsurTech,High,"Small-business insurance provider"
CCV,NO,Payments,High,"Payment terminals and transaction processing provider"
Alt21,NO,Other,High,"FX hedging and international payments platform"
NymCard,NO,Banking,High,"Card issuing and banking-as-a-service platform"
Multiply Mortgage,NO,Lending,High,"Mortgage benefit/origination platform"
Town.com,NO,Accounting/Tax,High,"Small-business tax advisory and automation platform"
PCMI,NO,InsurTech,High,"Extended warranty and F&I administration software"
Dalma,NO,InsurTech,High,"Pet insurance provider"
Banyan,NO,Other,Medium,"Receipt/item-level transaction data enrichment middleware; data not financial crime"
RedotPay,NO,Payments,High,"Crypto payment card and wallet provider"
SavvyMoney,NO,Other,High,"Credit score and financial wellness platform for banks"
Equilend,NO,Trading/Capital Markets,High,"Securities finance and securities lending trading platform"
Iron,NO,Payments,High,"Stablecoin payment infrastructure and APIs; acquired by MoonPay"
Curve,NO,Payments,High,"Card aggregation and payments wallet app"
Binance,NO,Other,High,"Cryptocurrency exchange"
Admincontrol,NO,Other,Medium,"Board portal and virtual data room governance software; not financial crime"
Actico,YES,AML,High,"AML transaction monitoring; sanctions; PEP/risk classification and fraud software"
