name,in_scope,subsector,confidence,rationale
VibePay,NO,Payments,High,"Payments / pay-by-bank app; not financial-crime tech"
Property Monitor,NO,PropTech,High,"Real-estate data and property market analytics"
Zoe Financial,NO,WealthTech,High,"Wealth management / financial advisor matching platform"
BKN301,NO,Banking,High,"Banking-as-a-Service and core banking / payments provider"
iCreditWorks,NO,Lending,High,"Point-of-sale consumer lending / financing platform"
Global Trading Analytics,MAYBE,GRC/Risk,Medium,"Transaction cost analysis / best-execution regtech; trade-conduct adjacent not financial crime"
R.J. O'Brien,NO,Trading/Capital Markets,High,"Futures brokerage / commodities trading firm"
C2FO,NO,Other,High,"Working capital / supply-chain finance marketplace"
Datava,NO,Banking,High,"Banking data aggregation and intelligence platform for credit unions"
Esure,NO,InsurTech,High,"Personal lines insurance provider"
Marshmallow,NO,InsurTech,High,"Motor insurance provider for migrants"
Tapcheck,NO,Other,High,"Earned wage access / on-demand pay platform"
TermSheet,NO,PropTech,High,"Commercial real estate deal management and CRM software"
Meanwhile,NO,InsurTech,High,"Bitcoin-denominated life insurance provider"
Eurochange,NO,Other,High,"Foreign currency exchange / travel money bureau"
Alinea Invest,NO,WealthTech,High,"Retail investing / wealth app for young women"
Dealstack,NO,Other,High,"Cap-table and private-capital deal ops software"
TransFICC,NO,Trading/Capital Markets,High,"Fixed income and derivatives trading connectivity infrastructure"
Easylink Payment,NO,Payments,High,"Payment processing / gateway services"
Ryft,NO,Payments,High,"Payment processing and split-payment orchestration platform"
