name,in_scope,subsector,confidence,rationale
Flex,NO,Banking,High,"Business financial management; banking; treasury; payments platform; not financial crime"
LogoIntern,NO,Other,Medium,"AI logo and design generation tool; unrelated to financial crime"
SpecterOps,MAYBE,GRC/Risk,Medium,"Cybersecurity attack-path/adversary-simulation (BloodHound); cyber not financial-crime specific"
Episode Six,NO,Payments,High,"Card issuing and payments processing ledger platform; not financial crime"
Planet Smart City,NO,PropTech,High,"Smart city and real-estate development; not financial crime"
Lenkie,NO,Lending,High,"SMB financing and working-capital lending; not financial crime"
Flowdesk,NO,Trading/Capital Markets,High,"Crypto market making and trading infrastructure; not financial crime"
Quantexa,YES,Financial Crime Analytics,High,"Decision intelligence with entity resolution for AML; KYC; fraud and financial crime"
InsuranceDekho,NO,InsurTech,High,"Insurance distribution marketplace; not financial crime"
CoverForce,NO,InsurTech,High,"Insurance API and distribution platform; not financial crime"
Grain,NO,Payments,High,"Embedded FX hedging and currency-risk platform; not financial crime"
Mews Systems,NO,PropTech,High,"Hospitality property management software; not financial crime"
Lumonic,NO,Lending,High,"Private credit and debt portfolio monitoring tech; not financial crime"
DealX,NO,Market Data,High,"Structured products and CMBS deal data and analytics; not financial crime"
Coalition,NO,InsurTech,High,"Cyber insurance provider; cyber risk not financial-crime specific"
Mizuho (Global Custody Business),NO,Fund Admin,High,"Global custody and securities services; not financial crime"
Archway (SEI's family office tech),NO,WealthTech,High,"Family office accounting and wealth tech; not financial crime"
Mantl,MAYBE,KYC/KYB,Medium,"Digital account opening and origination; includes onboarding/KYC but core is deposit origination"
Mapal,NO,Other,High,"Hospitality operations and workforce management software; not financial crime"
TransactPay,NO,Payments,High,"Card issuing and payments processing; plain payments not financial crime"
