name,in_scope,subsector,confidence,rationale
FurtherAI,NO,InsurTech,High,"AI automation for insurance workflows; not financial crime"
Inepro,NO,Payments,Medium,"Metering and cashless payment hardware/software vendor"
Mr. Cooper,NO,Lending,High,"US mortgage servicing and origination company"
Roam,NO,Lending,High,"Assumable-mortgage marketplace platform"
Atomic,NO,Payments,Medium,"Payroll/income data connectivity API; not fraud/KYC"
Persefoni,NO,Other,High,"Carbon accounting and ESG/climate disclosure software"
Weefin,NO,Other,High,"ESG/sustainable finance data and reporting software"
P97,NO,Payments,High,"Mobility and fuel/convenience-retail payments platform"
Mendel,NO,Payments,High,"LatAm corporate spend and expense management platform"
Quantee,NO,InsurTech,High,"AI insurance pricing/rating engine"
UTP,NO,Payments,High,"UK merchant card payments/acquiring (now myPOS UK)"
Sympera AI,NO,Banking,High,"AI relationship-banking sales enablement for SMB banking"
Mercury,NO,Banking,High,"Digital banking platform for startups/businesses"
HRK Lunis,NO,WealthTech,Medium,"German wealth/asset management firm"
RockFi,NO,WealthTech,High,"French digital wealth management firm"
Bond Radar,NO,Market Data,Medium,"Fixed-income/bond primary market data service"
Rain,NO,Payments,High,"Earned wage access / on-demand pay platform"
ClearGrid,NO,Other,High,"AI-driven debt collection/recovery platform in MENA"
Uala,NO,Banking,High,"Argentine neobank / digital wallet and financial app"
NinjaTrader,NO,Trading/Capital Markets,High,"Retail futures trading platform and brokerage"
