name,in_scope,subsector,confidence,rationale
With Intelligence,NO,Market Data,High,"Alternative-data and intelligence platform for asset/fund managers; not financial crime"
Global Lending,NO,Lending,Medium,"Name indicates lending/credit origination business"
OneCause,NO,Payments,High,"Nonprofit fundraising and event giving payments platform"
AuditComply,MAYBE,GRC/Risk,Medium,"Enterprise GRC/quality and audit management; not specific to financial crime"
EzyCollect,NO,Payments,High,"Accounts-receivable automation and payment collection software"
RetireOne,NO,InsurTech,High,"Retirement income and annuity/insurance platform"
Nochex,NO,Payments,High,"UK online payment gateway and processor"
SquareRisk,NO,InsurTech,High,"Specialty/E&S insurance distribution marketplace"
WinFactor,NO,Lending,Medium,"Invoice factoring software for the trucking/freight industry"
Skilling,NO,Trading/Capital Markets,High,"Online CFD and forex trading brokerage platform"
Loctax,NO,Accounting/Tax,High,"Global tax operations and compliance/governance platform"
Strategic Insurance Group,NO,InsurTech,High,"Insurance agency/group; not financial crime tech"
Credas Technologies,YES,Identity Verification,High,"Digital ID verification with eKYC; AML PEP and sanctions screening"
Atlas Metrics,NO,Other,High,"ESG and sustainability reporting/compliance software"
Tenor Digital,NO,Lending,High,"Private credit loan management and servicing software"
Congrify,NO,Payments,High,"Payments observability reconciliation and intelligence for merchants"
Macro Hive,NO,Market Data,High,"Macro investment research and market analysis provider"
Crizit,NO,Market Data,High,"Market data cost monitoring and reference-data optimization"
Bamboo Insurance,NO,InsurTech,High,"Home/property insurance carrier and MGA platform"
Nucleus Commercial Finance,NO,Lending,High,"SME commercial lending and business finance provider"
