name,in_scope,subsector,confidence,rationale
Zuto,NO,Lending,High,"UK car finance credit broker matching borrowers to lenders"
Vault Verify,NO,Other,High,"Automated employment and income verification for HR/payroll; not financial-crime IDV"
UpTop,NO,Other,Medium,"UX design agency / SaaS financing; not fraud or AML"
ETPay,NO,Payments,High,"Chilean payment initiation and collections gateway"
DAO,NO,Other,Low,"Appears to be a crypto/DAO entity; no fraud or AML focus found"
JTC,NO,Fund Admin,High,"Fund administration, corporate and private client services"
Diamant Software,NO,Accounting/Tax,High,"German accounting and controlling ERP software"
Delta South Title,NO,InsurTech,High,"Title insurance and closing services"
SCM Insurance Services,NO,InsurTech,High,"Insurance claims management and services"
PriceStats,NO,Market Data,High,"Daily inflation analytics from online prices; market data"
Bitwage,NO,Payments,High,"Crypto and international payroll/invoicing platform"
Forge Global Holdings,NO,Trading/Capital Markets,High,"Private-company securities marketplace and trading"
Wirespeed,MAYBE,GRC/Risk,Medium,"Cybersecurity managed detection and response; not financial-crime specific"
Hype,NO,Banking,High,"Italian neobank offering payments and accounts"
NetVendor,NO,PropTech,High,"Vendor credentialing and compliance for property management"
SteelEye,MAYBE,RegTech/Compliance,Medium,"RegTech trade and comms surveillance plus regulatory reporting; market-conduct not AML"
ProSpend,NO,Accounting/Tax,High,"Expense and AP/spend management software"
Palisade,NO,Other,Medium,"Institutional digital asset custody platform (Ripple-acquired)"
Slice,NO,Banking,High,"Indian credit card / neobank, now a small finance bank"
Portfolio Group,NO,InsurTech,High,"Dealer reinsurance management and F&I products for auto dealers"
