name,in_scope,subsector,confidence,rationale
First Federal Bank (TPO Division),NO,Banking,High,"Bank third-party mortgage origination division"
Derivitec,NO,Trading/Capital Markets,High,"Derivatives risk analytics for capital markets"
Funded Trading Plus,NO,Trading/Capital Markets,High,"Prop trading funded-trader firm"
PwC Indirect Tax Edge,NO,Accounting/Tax,High,"Indirect tax compliance technology"
Zonda,NO,PropTech,High,"Housing market data and proptech analytics"
Peach Finance,NO,Lending,High,"Loan management and servicing platform"
Fidelity Intl. Strategic Ventures Portfolio,NO,Other,Medium,"VC investment portfolio not an operating product"
LayerX,NO,Other,Medium,"Finance automation / enterprise AI browser security; not financial crime"
Honor Capital,NO,InsurTech,High,"Insurance premium finance lender"
NMI,NO,Payments,High,"Payment gateway and processing platform"
Smovin,NO,PropTech,High,"Rental property management software"
PrimaryBid,NO,Trading/Capital Markets,High,"Retail access to IPOs and capital raises"
InvestHub,NO,WealthTech,Medium,"Investment platform"
Finadium,NO,Market Data,High,"Securities finance research and consulting"
Rossum,NO,Accounting/Tax,High,"AI invoice and document processing automation"
Royu,NO,Accounting/Tax,High,"AI accounting and bookkeeping automation agents"
Brinta,NO,Accounting/Tax,High,"AI tax automation platform for LATAM"
Avantia,NO,Other,High,"AI legal/compliance tech for private capital funds"
Agenium,NO,InsurTech,High,"Life insurance underwriting and new-business platform"
Floid,MAYBE,Identity Verification,Low,"Open finance infra with user verification/risk; not core financial-crime"
