name,in_scope,subsector,confidence,rationale
MyExpatTaxes,NO,Accounting/Tax,High,"Expat tax filing and preparation software"
TrustArc,MAYBE,GRC/Risk,Medium,"Privacy and data-governance compliance; not financial-crime specific"
FinQuery,NO,Accounting,High,"Lease accounting and spend management software (formerly LeaseQuery)"
Accelex,NO,Market Data,High,"AI data extraction and analytics for alternative investments"
Digital Storefront,NO,Other,Low,"Generic e-commerce storefront; no financial-crime focus"
Criterion,NO,Other,Low,"Fintech account-opening standards or HCM payroll; not financial crime"
Applied Risk Capital,NO,InsurTech,High,"Credit-default insurance MGA for lenders"
Sirvatus,NO,Lending,High,"Loan operations automation for private credit funds"
Versatile Credit,NO,Lending,High,"Credit application and lending waterfall platform for retailers"
Omnipresent,NO,Other,High,"Global employment EOR and payroll platform"
Besolo,NO,Other,Medium,"Admin and finance platform for solopreneurs/freelancers"
AllPaid,NO,Payments,High,"Government and bill payment processing (GovPayNet)"
CyberCube,MAYBE,GRC/Risk,Medium,"Cyber-risk analytics for insurance; not financial-crime AML/KYC"
Verity,NO,Market Data,High,"Investment research management and equity data analytics"
