name,in_scope,subsector,confidence,rationale
Atto,NO,Lending,High,"Open-banking credit scoring and affordability decisioning for lenders"
Chimney,NO,PropTech,High,"Home equity and property-data engagement tools for banks"
Step Mobile,NO,Banking,High,"Teen-focused neobank and banking app"
WorkFusion,YES,AML,High,"AI agents for AML; sanctions screening; KYC and transaction monitoring"
CQG,NO,Trading/Capital Markets,High,"Trading; charting and order-execution tech for capital markets"
PayByPhone,NO,Payments,High,"Mobile parking payments app"
Own Up,NO,Lending,High,"Mortgage marketplace and lending comparison platform"
Testimonial iQ,NO,Other,High,"Reputation and testimonial marketing software for advisors"
Dimensa,NO,Banking,High,"B2B core-banking and card processing tech for financial market"
Limina,NO,WealthTech,High,"Investment management system; OMS/PMS for asset managers"
Journey Technology Solutions,YES,Identity Verification,High,"Biometric identity verification and authentication; anti-fraud"
1741 Group,NO,Fund Admin,High,"Fund services and asset management platform"
AIG Classic,NO,InsurTech,High,"Insurance business unit"
Newfront,NO,InsurTech,High,"Insurance brokerage and tech platform"
Envoice,NO,Accounting/Tax,High,"Bill and expense management bookkeeping software"
Blue EMI,NO,Payments,High,"E-money institution; stablecoin issuer and payment services"
Tutman,NO,Fund Admin,High,"Authorised Corporate Director fund management services"
Cymbio,NO,Other,High,"Dropship and marketplace automation for retail brands"
Acre,NO,Lending,High,"Mortgage broker and intermediary software platform"
Brex,NO,Payments,High,"Corporate cards and spend management fintech"
