name,in_scope,subsector,confidence,rationale
FairNow,MAYBE,GRC/Risk,Medium,"AI governance and compliance platform; GRC not financial-crime specific"
21Shares,NO,Trading/Capital Markets,High,"Crypto ETP/ETF issuer"
Bambora,NO,Payments,High,"Payment processing and gateway provider"
Alchemy Technology Services,NO,InsurTech,High,"Insurance software implementation and professional services"
Railbird,NO,Trading/Capital Markets,High,"CFTC-regulated prediction market and event contract exchange"
Echo,NO,Trading/Capital Markets,High,"Onchain crypto capital-raising/fundraising platform"
Zimpler,NO,Payments,High,"A2A pay-by-bank payments network"
8fig,NO,Lending,High,"Growth funding and cash-flow planning for ecommerce sellers"
Pardus Underwriting,NO,InsurTech,High,"Insurance managing general agent (MGA)"
Sanad Cash,NO,Payments,High,"Corporate spend management and prepaid card platform"
Fintilect,NO,Banking,High,"AI-driven digital banking personalization software"
KRIYA,NO,Lending,High,"SME invoice finance, business loans and embedded BNPL"
Ren,NO,Other,High,"Philanthropy tech / donor-advised fund platform"
GTeasury,NO,Other,High,"Corporate treasury and cash management software"
The Small Exchange,NO,Trading/Capital Markets,High,"Futures/derivatives exchange for retail traders"
DataTools,MAYBE,Identity Verification,Medium,"Address/data verification (GBG); data quality not financial-crime IDV"
Empaxis Data Management,NO,Fund Admin,High,"Outsourced data/operations management for investment managers"
MBS Source,NO,Trading/Capital Markets,High,"Electronic marketplace for mortgage/asset-backed securities trading"
MBA Source,NO,Trading/Capital Markets,Medium,"Mortgage/asset-backed securities data and trading (sibling of MBS Source)"
Solovis,NO,WealthTech,High,"Multi-asset portfolio management and analytics for institutional investors"
