name,in_scope,subsector,confidence,rationale
Open Lending,NO,Lending,High,"Auto loan decisioning and credit enablement platform"
Finastra (Universal Banking),NO,Banking,High,"Core banking software for universal banks"
PayCaptain,NO,Payroll,High,"Payroll and payments software for employers"
Payoneer,NO,Payments,High,"Cross-border payments and money movement platform"
Celero Commerce,NO,Payments,High,"Integrated payments and commerce technology provider"
Fathom Holdings,NO,PropTech,High,"Real estate brokerage and tech platform"
additiv,NO,WealthTech,High,"Digital wealth management and embedded finance SaaS"
LevPro,NO,Trading/Capital Markets,High,"CLO and private credit portfolio management platform"
Orb,NO,Other,High,"Usage-based billing and metering infrastructure"
m3ter,NO,Other,High,"Usage-based pricing and metering platform"
Messari,NO,Market Data,High,"Crypto market data and research intelligence"
RiskFront AI,YES,Financial Crime Analytics,High,"Agentic AI for financial crime compliance; AML and fraud due diligence"
Kiavi,NO,Lending,High,"Real estate investor lending platform"
Veli,NO,WealthTech,High,"Crypto portfolio platform for financial advisors"
Finastra (US Mid-Market Banking Business),NO,Banking,High,"Mid-market core banking software business"
Blockfills,NO,Trading/Capital Markets,High,"Crypto trading and liquidity provider"
Leapfin,NO,Accounting/Tax,High,"Automated revenue accounting and recognition software"
PEER DATA,NO,Other,Medium,"Data commerce; governance and metering platform; not financial crime"
Fee Navigator,NO,Payments,High,"AI merchant statement pricing intelligence for payments"
Absolute Payment Solutions,NO,Payments,High,"Bacs-accredited UK payment processing services"
