name,in_scope,subsector,confidence,rationale
Stratus,NO,InsurTech,Medium,"Guidewire insurance services and IT integration firm acquired by Infosys"
WiredScore,NO,PropTech,High,"Building connectivity/digital certification and scoring for real estate"
Vinovest,NO,WealthTech,High,"Wine and alternative-asset investment platform"
Semsee,NO,InsurTech,High,"Commercial insurance quoting/comparison platform for agents"
Orda,NO,Payments,High,"Restaurant POS and ordering software with embedded payments"
LTi Technology Solutions,NO,Lending,High,"Equipment finance/leasing lifecycle software platform"
Nimbello,NO,Accounting/Tax,High,"Accounts payable invoice automation software"
TheGuarantors,NO,InsurTech,High,"Rental lease guaranty and renter insurance products"
Brahma,NO,Other,Medium,"DeFi execution infrastructure and crypto payments; acquired by Polymarket"
PropertyChecklists,NO,PropTech,High,"Property transaction guidance/checklists content for real estate"
Slope,NO,Payments,High,"B2B BNPL and order-to-cash payments platform"
Hexure,NO,InsurTech,High,"Insurance and annuity sales/e-application software"
Asymmetric Information,MAYBE,InsurTech,Low,"Ambiguous name; likely insurance/risk data rather than financial crime"
TradingHub,YES,Transaction Monitoring,High,"Trade surveillance and market-abuse detection software (MAST)"
Billhop,NO,Payments,High,"B2B card-based bill payment processing service"
Lyra Client Solutions,NO,Fund Admin,High,"Private markets client servicing and fund operations platform"
Monite,NO,Payments,High,"Embedded invoicing/AP/AR and B2B payments API for platforms"
Pinch Financial,NO,Lending,Medium,"Digital mortgage qualification platform; verification is mortgage-origination not standalone IDV"
Trellis,NO,InsurTech,High,"Embedded auto/home insurance comparison and API platform"
FX Transparency,NO,Market Data,Medium,"FX cost analysis and transaction-cost transparency for institutions"
