name,in_scope,subsector,confidence,rationale
Virtua Research,NO,Market Data,High,"Investor relations financial research and consensus data platform; not financial crime"
helden.de,NO,InsurTech,High,"Digital insurance broker for liability and pet insurance in Germany"
TAPn'GO,NO,Payments,High,"Contactless payment technology acquired by PayTabs"
PaynoPain,NO,Payments,High,"Spanish online payment gateway and processing provider"
Paymark,NO,Payments,High,"New Zealand payments network and processing infrastructure"
HomeOwners Alliance,NO,PropTech,High,"UK consumer homeownership advice and services platform"
CFO Silvia,NO,WealthTech,High,"AI personal CFO analyzing and monitoring investor portfolios"
Sudozi,NO,Other,High,"Procurement and vendor spend management platform for finance teams"
Cocoon,NO,Other,High,"Employee leave management and FMLA compliance software; HR not financial crime"
Mosey,NO,Other,High,"State payroll tax and entity compliance platform; not financial crime"
Maroo,NO,Payments,High,"Payments invoicing and CRM platform for wedding and event businesses"
ByAllAccounts,NO,WealthTech,High,"Wealth financial account aggregation data service by Morningstar"
PM Insights,NO,Market Data,High,"Private markets pricing and valuation data analytics firm"
RED,MAYBE,RegTech/Compliance,Low,"Non-descriptive name; no evidence found tying it to fraud or AML"
Beem,NO,Lending,High,"Consumer cash advance app and AI personal finance super app"
PayEx (Payments Business),NO,Payments,High,"Payments processing and invoicing business unit"
Surge,MAYBE,GRC/Risk,Low,"Non-descriptive name; could not confirm fraud or compliance focus"
AOE Software,NO,Other,High,"Custom digital platform and software consultancy; not financial crime"
OrboGraph,YES,Fraud,High,"AI check fraud detection and prevention software for banks"
Andesa,NO,InsurTech,High,"Life insurance and annuity policy and plan administration software"
