name,in_scope,subsector,confidence,rationale
Droit,MAYBE,RegTech/Compliance,Medium,"Pre/post-trade regulatory compliance and reporting for capital markets; not financial-crime specific"
360 View,NO,Banking,Medium,"Banking CRM and relationship management software"
Tapline,NO,Lending,Medium,"Revenue-based financing for SaaS/digital businesses"
Finley Technologies,NO,Lending,High,"Debt capital management and credit facility compliance software"
Vantager,NO,WealthTech,Medium,"Investment/portfolio analytics platform for allocators"
Delio,NO,WealthTech,Medium,"Private markets and private investment infrastructure platform"
Eventus,YES,Transaction Monitoring,Medium,"Trade surveillance platform spanning AML and transaction monitoring"
InvestEdge,NO,WealthTech,High,"Wealth management portfolio and account management software"
AtData,YES,Fraud,High,"Email identity intelligence for fraud prevention and synthetic-identity detection"
Penny Finance,NO,WealthTech,Medium,"Personal finance and money coaching platform for consumers"
Newpay,NO,Lending,High,"Buy-now-pay-later consumer credit provider"
Dome,NO,Trading/Capital Markets,High,"Unified API for prediction markets data and trading"
Pine Advisor Solutions,NO,Fund Admin,Medium,"Outsourced services and administration for investment advisers and funds"
Kubo.financiero,NO,Lending,High,"P2P lending and savings platform in Mexico"
Context Analytics,NO,Market Data,High,"Social media sentiment and unstructured-data analytics for capital markets"
Passthrough,YES,KYC/KYB,High,"Investor onboarding with KYC/AML and sanctions/PEP screening for funds"
Stash Financial,NO,WealthTech,High,"Consumer investing and banking app"
DiTRONICS Financial Services,NO,Payments,Medium,"Cash access and payments services for casinos/gaming"
Captide,NO,Market Data,High,"AI platform structuring corporate filings for investment research"
ISS Stoxx,NO,Market Data,Medium,"Index, ESG and governance data and proxy advisory services"
