name,in_scope,subsector,confidence,rationale
Coinme,NO,Payments,High,"Crypto cash kiosk and on-ramp/payments provider; not financial-crime tech"
Sirion,NO,Other,High,"Contract lifecycle management (CLM) software; not in scope"
Tres Finance,NO,Accounting/Tax,High,"Crypto/digital-asset accounting and data reconciliation platform"
Fjord Bank,NO,Lending,High,"Lithuanian neobank/consumer lending; not financial-crime tech"
Brightfin,NO,Other,High,"Telecom/IT expense and mobility management software"
CRS Temporary Housing,NO,Other,High,"Temporary housing/relocation services; not fintech"
OneStream,NO,Other,High,"Corporate performance management and financial consolidation software"
SolveXia,NO,Accounting/Tax,High,"No-code finance automation; reconciliations and reporting; not financial crime"
Triple Play Pay,NO,Payments,High,"Payment processing/gateway provider; plain payments not in scope"
Matrisk,NO,InsurTech,High,"AI insurance rate-filing analytics and pricing; acquired by Akur8"
Structurely,NO,Other,High,"AI conversational sales/lead engagement for real estate; not in scope"
Mono,NO,Payments,Medium,"African open-banking data aggregation and bank payments; not core financial-crime"
GLAS,NO,Fund Admin,High,"Loan agency, debt administration and trustee services; not financial-crime tech"
Obie,NO,InsurTech,High,"Landlord/rental property insurance provider; not in scope"
BridgeFT,NO,WealthTech,High,"Wealthtech data and API infrastructure for advisors; not financial crime"
Clearwater Analytics,NO,WealthTech,High,"Investment accounting, reporting and analytics for institutional portfolios"
PartsTrader,NO,Other,High,"Auto collision parts procurement marketplace; not fintech"
OpenGamma,NO,Trading/Capital Markets,High,"Derivatives margin and treasury analytics for capital markets; not in scope"
Pairsoft,NO,Other,High,"ERP document management, AP automation and procurement software"
Habito,NO,Lending,High,"UK online mortgage broker; not financial-crime tech"
