name,in_scope,subsector,confidence,rationale
Misterplan,NO,Other,High,"Tourism management software (PMS; booking engine; channel manager)"
Equiniti,NO,Other,High,"Shareholder services and registrar / pension administration"
LeafHouse Financial Advisors,NO,WealthTech,High,"Investment advisory and fiduciary services"
IndiaLends,NO,Lending,High,"Digital lending marketplace for consumer credit"
DFlow,NO,Trading/Capital Markets,High,"DeFi trade execution / payment-for-order-flow infrastructure on Solana"
Amex GBT,NO,Other,High,"Corporate business travel management"
Sedex Information Exchange,NO,Other,High,"Ethical / sustainable supply-chain data platform (ESG; not financial crime)"
VeloLife,NO,InsurTech,High,"Specialist cycle and life insurance provider"
Oculus Underwriters,NO,InsurTech,High,"Insurance underwriting / MGA"
Reap,NO,Payments,High,"Stablecoin-enabled corporate cards and cross-border payments"
Valon Mortgage,NO,Lending,High,"Mortgage servicing platform"
Precept,MAYBE,RegTech/Compliance,Medium,"AI compliance automation for banking/finance/healthcare; broad not financial-crime specific"
Till Financial,NO,Banking,High,"Family / kids banking and spending app"
Doyen AI,NO,Accounting/Tax,High,"AI-powered financial data migration for ERP onboarding"
AI Financial Corporation,NO,Trading/Capital Markets,High,"Digital-asset tokenization; trading; clearing and payments (formerly ALT5 Sigma)"
Trepp,NO,Market Data,High,"CRE / CMBS data and analytics provider"
SMS Stiewi,NO,Other,High,"Public-sector travel-expense and ERP software"
TC Financial,NO,InsurTech,High,"Insurance / Medicare / annuities marketing organization"
Complex Coverage,NO,InsurTech,High,"Managing general agency for personal-lines insurance"
Shopflo,NO,Payments,High,"E-commerce checkout and payments / subscription commerce"
