name,in_scope,subsector,confidence,rationale
Brocc,NO,Lending,High,"Swedish consumer lending and savings platform"
CSG Systems International,NO,Other,High,"Billing and customer engagement BSS software"
Pocketnest,NO,WealthTech,High,"Personal financial wellness and planning app"
EquityZen,NO,Trading/Capital Markets,High,"Pre-IPO secondary share marketplace"
LogiPe,NO,Payments,High,"Indian fleet and workforce payments platform"
Best Egg,NO,Lending,High,"Consumer personal loans platform"
Onaroll,NO,Other,High,"Employee goals and rewards gamification app"
Mortgage Cadence,NO,Lending,High,"Mortgage loan origination technology"
ProNavigator,NO,InsurTech,High,"AI knowledge management for P&C insurers"
Tenset,NO,Crypto,Medium,"Crypto launchpad and token ecosystem"
BMLL Technologies,NO,Market Data,High,"Historical market data and analytics provider"
Kompliant,YES,KYC/KYB,High,"KYB/KYC onboarding underwriting and transaction monitoring for payments"
Trailight,MAYBE,GRC/Risk,Medium,"Conduct risk and SMCR individual accountability compliance; not financial crime"
RentFinder,NO,PropTech,High,"Rental property search platform"
KYC360,YES,KYC/KYB,High,"KYC AML perpetual KYC and screening platform"
Finastra (Canadian Student Loan Servicing Business),NO,Lending,High,"Student loan servicing business unit"
Dynamic,NO,Crypto,Medium,"Web3 embedded wallet and authentication SDK; not financial-crime IDV"
Stable Finance,NO,Crypto,High,"Consumer stablecoin savings and yield app"
Beam,MAYBE,AML,Low,"Ambiguous; Beam Solutions is AML/KYC but other Beams are stablecoin/construction"
Contour,NO,Trading/Capital Markets,High,"Digital trade finance network for letters of credit"
