name,in_scope,subsector,confidence,rationale
Skio,NO,Payments,High,"Subscription billing and recurring payments platform for ecommerce brands"
ANZ Worldline (JV),NO,Payments,High,"Merchant payment acceptance and processing joint venture"
CoreGo,NO,Payments,High,"Open-loop event and venue payment and access technology"
StreetFair,NO,Other,High,"Neighborhood home-services marketplace; not financial"
BEC Financial Technologies,NO,Banking,High,"Core banking IT provider for Danish banks"
Cboe (Australia and Canada Units),NO,Trading/Capital Markets,High,"Securities exchange operations"
Open Ledger,NO,Accounting/Tax,High,"Embedded accounting API for SaaS platforms"
KIB Latvia,NO,Other,Medium,"Latvian credit bureau / credit information data; credit-risk not financial crime"
Fintool,NO,WealthTech,High,"AI equity research assistant for investors and analysts"
Benavest,NO,InsurTech,High,"Health and life insurance agency"
Talon.One,NO,Other,High,"Promotions loyalty and coupon marketing engine"
Fiscal FX,NO,Payments,Medium,"FX and cross-border payments / currency exchange provider"
Carry,NO,WealthTech,High,"Retirement and tax-advantaged investing accounts platform"
Hiro,NO,WealthTech,High,"AI personal finance planning app for consumers"
Sightglass,NO,WealthTech,High,"AI investor relations and DDQ automation for private markets"
Cable,YES,RegTech/Compliance,High,"Automated financial-crime control testing for banks and fintechs"
Bitnomial,NO,Trading/Capital Markets,High,"Crypto derivatives exchange and clearinghouse"
Zengo,NO,Other,Medium,"Self-custody crypto wallet with MPC security; not financial-crime tooling"
Hyper,NO,Other,High,"Agentic AI expense management platform"
Konfir,MAYBE,Identity Verification,Medium,"Instant employment and income verification; identity/income data fraud-adjacent"
