name,in_scope,subsector,confidence,rationale
Atlas,NO,Other,Low,"Expense management/spend platform acquired by Remote; not financial crime"
WealthOS,NO,WealthTech,High,"Wealth management SaaS platform; not financial crime"
InsurGrid,NO,InsurTech,High,"Insurance data/connectivity platform; not financial crime"
Paynuri,NO,Payments,High,"South Korean payment gateway and FX provider acquired by Airwallex"
Pomelo,NO,Payments,High,"LatAm card issuing and processing platform; not core fraud/KYC"
ClearGov,NO,Other,High,"Government budgeting and transparency software; not financial crime"
Boundless,NO,Other,High,"Immigration and HR/payroll compliance platform; not financial crime"
Tagit,NO,Banking,High,"Singapore digital banking software platform; not financial crime"
NovaSparks,NO,Market Data,High,"FPGA ultra-low-latency market data feed handler; not financial crime"
CalcFocus,NO,InsurTech,High,"Insurance policy administration and illustration software"
Ahauz,NO,Lending,High,"UK homebuyer deposit/mortgage lending fintech; not financial crime"
thinkFolio,NO,Trading/Capital Markets,High,"Portfolio and investment management platform (IHS Markit)"
Symfos,NO,InsurTech,High,"Reinsurance underwriting and exposure management software"
Worldpay,NO,Payments,High,"Large payment processor/acquirer; not core fraud/KYC business"
Distributed Technologies Research,NO,Payments,High,"Global payments/stablecoin orchestration infrastructure"
Groene Hart Financiele Diensten,NO,Other,Medium,"Dutch financial services advisory firm; not financial crime tech"
Total System Services,NO,Payments,High,"TSYS payment processing; not core fraud/KYC business"
Alacrity Solutions,NO,InsurTech,High,"Insurance claims management services; not financial crime"
StandardFusion,MAYBE,GRC/Risk,Medium,"Broad GRC and compliance management SaaS; not specific to financial crime"
3iQ,NO,WealthTech,High,"Crypto digital asset manager; not financial crime tech"
